brand_name,genre_name,link,link_logo
Suunto,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-suunto,https://cdn.tgdd.vn/Brand/1/Suunto7077-b_14.png
Xiaomi,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-xiaomi,https://cdn.tgdd.vn/Brand/1/logo-xiaomi-220x48-18.jpg
Honor,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-honor,https://cdn.tgdd.vn/Brand/1/Honor7077-b_28.jpg
Kidcare,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-kidcare,https://cdn.tgdd.vn/Brand/1/Kidcare7077-b_5.jpg
Masstel,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-masstel,https://cdn.tgdd.vn/Brand/1/Masstel7077-b_57.jpg
Garmin,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-garmin,https://cdn.tgdd.vn/Brand/1/Garmin7077-b_13.png
Haylou,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-haylou,https://cdn.tgdd.vn/Brand/1/hayloulogonew-220x48-1.jpg
Huami Amazfit,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-huami-amazfit,https://cdn.tgdd.vn/Brand/1/logoamazfit-220x48-1.png
Apple,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-apple,https://cdn.tgdd.vn/Brand/1/Apple7077-b26-220x48.png
Oppo,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-oppo,https://cdn.tgdd.vn/Brand/1/Oppo7077-b_28.jpg
Realme,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-realme,https://cdn.tgdd.vn/Brand/1/Realme7077-b_28.jpg
Befit,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-befit,https://cdn.tgdd.vn/Brand/1/logo-befit-220x48-1.png
Samsung,SmartWatch,https://www.thegioididong.com/dong-ho-thong-minh-samsung,https://cdn.tgdd.vn/Brand/1/samsungnew-220x48-5.png
